"filename", "language", "JavaScript", "Vue", "JSON", "Markdown", "XML", "EditorConfig", "SCSS", "Shell Script", "comment", "blank", "total"
"/Users/neodai/Sites/raumgleiter/pages/design-inventory.vue", "Vue", 0, 376, 0, 0, 0, 0, 0, 0, 0, 32, 408
"/Users/neodai/Sites/raumgleiter/pages/index.vue", "Vue", 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/neodai/Sites/raumgleiter/pages/preview/page/_slug.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/neodai/Sites/raumgleiter/pages/preview/pagebuilder.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/neodai/Sites/raumgleiter/pages/preview/project.vue", "Vue", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/neodai/Sites/raumgleiter/pages/preview/projectIndex.vue", "Vue", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/neodai/Sites/raumgleiter/pages/preview/solutions.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"/Users/neodai/Sites/raumgleiter/pages/preview/team.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 0, 1, 4, 21
"/Users/neodai/Sites/raumgleiter/pages/projects/_slug.vue", "Vue", 0, 211, 0, 0, 0, 0, 0, 0, 0, 28, 239
"/Users/neodai/Sites/raumgleiter/pages/projects/index.vue", "Vue", 0, 133, 0, 0, 0, 0, 0, 0, 2, 9, 144
"/Users/neodai/Sites/raumgleiter/pages/solutions.vue", "Vue", 0, 142, 0, 0, 0, 0, 0, 0, 1, 16, 159
"/Users/neodai/Sites/raumgleiter/pages/team.vue", "Vue", 0, 201, 0, 0, 0, 0, 0, 0, 1, 22, 224
"/Users/neodai/Sites/raumgleiter/plugins/canautoplay.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/neodai/Sites/raumgleiter/plugins/craft.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/neodai/Sites/raumgleiter/plugins/gsap.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17
"/Users/neodai/Sites/raumgleiter/plugins/intersection-observer.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"/Users/neodai/Sites/raumgleiter/plugins/lazysizes.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/neodai/Sites/raumgleiter/plugins/mixitup.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/neodai/Sites/raumgleiter/plugins/pixi.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/neodai/Sites/raumgleiter/plugins/preview.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/neodai/Sites/raumgleiter/plugins/scroll-to-top.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/neodai/Sites/raumgleiter/plugins/touch.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/neodai/Sites/raumgleiter/static/safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 128, 0, 0, 0, 0, 1, 129
"/Users/neodai/Sites/raumgleiter/store/index.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70
"Total", "-", 352, 6066, 15320, 66, 128, 12, 280, 50, 407, 837, 23518
